1,1,1,1,1,bottom,14935,14935.JPG,3.67,0.122,5.47,0.146,0.17,6.42,0.25,2.41,0.110,0.00,0.80,0.80,,
2,1,1,1,1,bottom,12669,12669.JPG,3.67,0.155,5.47,0.168,0.21,5.59,0.25,2.41,0.122,0.00,0.80,0.80,,
3,1,1,1,1,bottom,17165,17165.JPG,3.67,0.163,5.47,0.175,0.44,5.17,0.25,2.41,0.136,0.00,0.80,0.80,,
4,1,1,1,1,bottom,17544,17544.JPG,3.67,0.18,5.47,0,0.19,6.60,0.25,2.41,0.120,0.00,0.80,0.80,,
5,1,1,1,1,bottom,12872,12872.JPG,3.67,0.157,5.47,0.171,0.14,4.99,0.25,2.41,0.157,0.00,0.80,0.80,,
6,1,1,1,1,bottom,14933,14933.JPG,3.67,0.146,5.47,0.159,0.69,5.51,0.25,2.41,0.124,0.00,0.80,0.80,,
7,2,1,1,1,bottom,17712,17712.JPG,3.67,0.144,5.47,0.158,0.18,8.13,0.25,2.41,0.129,0.00,0.80,0.80,,
8,2,1,1,1,bottom,17826,17826.JPG,3.67,0.176,5.47,0.192,0.62,7.95,0.25,2.41,0.129,0.00,0.80,0.80,,
9,2,1,1,1,bottom,16612,16612.JPG,3.67,0.315,5.47,0.343,0.23,9.05,0.25,2.41,0.129,0.00,0.80,0.80,,
10,2,1,1,1,bottom,18650,18650.JPG,3.67,0.149,5.47,0.157,0.16,4.31,0.25,2.41,0.129,0.00,0.80,0.80,,
11,2,1,1,1,bottom,14715,14715.JPG,3.67,0.361,5.47,0.395,0.25,5.36,0.25,2.41,0.129,0.00,0.80,0.80,,
12,2,1,1,1,bottom,14246,14246.JPG,3.67,0.192,5.47,0.197,0.45,7.88,0.25,2.41,0.129,0.00,0.80,0.80,,
13,3,1,1,1,bottom,14797,14797.JPG,3.67,0.426,5.47,0.448,0.27,8.30,0.25,2.41,0.176,0.00,0.80,0.80,,
14,3,1,1,1,bottom,16242,16242.JPG,3.67,0.323,5.47,0.355,0.29,11.19,0.25,2.41,0.180,0.00,0.80,0.80,,
15,3,1,1,1,bottom,18420,18420.JPG,3.67,0.223,5.47,0.248,0.19,5.04,0.25,2.41,0.202,0.00,0.80,0.80,,
16,3,1,1,1,bottom,18297,18297.JPG,3.67,0.222,5.47,0.238,0.19,4.28,0.25,2.41,0.216,0.00,0.80,0.80,,
17,3,1,1,1,bottom,163993,163993.JPG,3.67,0.277,5.47,0.295,0.81,11.32,0.25,2.41,0.154,0.00,0.80,0.80,,
18,4,1,1,1,bottom,163152,163152.JPG,3.67,0.130,5.47,0.139,0.16,5.04,0.25,2.41,0.139,0.00,0.80,0.80,,
19,4,1,1,1,bottom,164472,164472.JPG,3.67,0.126,5.47,0.138,0.47,10.47,0.25,2.41,0.099,0.00,0.80,0.80,,
20,8,1,1,1,top,12655,12655.JPG,3.67,0.15,5.47,0.163,1.15,9.71,0.28,2.41,0.166,0.50,0.00,0.00,,SD56010/A
21,8,1,1,1,top,13092,13092.JPG,3.67,0.143,5.47,0.156,1.38,16.63,0.28,2.41,0.179,0.50,0.00,0.00,,SD56010/A
22,9,1,1,1,top,13107,13107.JPG,3.67,0.167,5.47,0.182,0.56,8.69,0.28,2.41,0.161,0.50,0.00,0.00,,SD56030
23,9,1,1,1,top,18493,18493.JPG,3.67,0.130,5.47,0.142,0.45,10.24,0.28,2.41,0.109,0.52,0.00,0.00,SD#56023,
24,9,1,1,1,top,15019,15019.JPG,3.67,0.153,5.47,0.167,0.37,7.49,0.28,2.41,0.08,0.52,0.00,0.00,SD#56023,
25,9,1,1,1,top,16903,16903.JPG,3.67,0.241,5.47,0.262,1.42,13.40,0.28,2.41,0.096,0.52,0.00,0.83,SD#56023,
26,9,1,1,1,top,12318,12318.JPG,3.67,0,5.47,0,0.00,0.00,0.28,2.41,0,0.00,0.00,0.00,,
27,9,1,1,1,top,12666,12666.JPG,3.67,0.168,5.47,0.183,0.85,7.44,0.28,2.41,0.101,0.91,0.00,0.00,RC-LH 2118 A,
28,9,1,1,1,top,13570,13570.JPG,3.67,0.127,5.47,0.139,1.18,8.12,0.28,2.41,0.109,0.52,0.00,0.00,SD#56023,
29,6,1,1,1,top,13575,13575.JPG,3.67,0.187,5.47,0.204,0.74,10.96,0.28,2.41,0.2,0.50,0.00,0.00,,SD56030
30,6,1,1,1,top,17888,17888.JPG,3.67,0.281,5.47,0.295,0.52,16.59,0.28,2.41,0.148,0.50,0.55,0.00,,SD56030
31,6,1,1,1,top,17830,17830.JPG,3.67,0.212,5.47,0.227,0.90,14.77,0.28,2.41,0.149,0.50,0.20,0.00,,SD56030
32,6,1,1,1,top,17213,17213.JPG,3.67,0.274,5.47,0.318,0.95,13.78,0.28,2.41,0.136,0.50,0.48,0.00,,SD56030
33,6,1,1,1,top,164470,164470.JPG,3.67,0.335,5.47,0,1.00,13.92,0.28,2.41,0.14,0.50,0.49,0.00,,SD56030
34,5,1,1,1,top,15068,15068.JPG,3.67,0.384,5.47,0.418,0.74,13.16,0.28,2.41,0.00,1.23,0.00,0.00,RC-LH 2512,
35,5,1,1,1,top,12725,12725.JPG,3.67,0.142,5.47,0.155,1.04,10.96,0.28,2.41,0.04,1.23,0.00,0.00,RC-LH 2512,
36,5,1,1,1,top,13111,13111.JPG,3.67,0.151,5.47,0.165,1.04,8.65,0.28,2.41,0.04,1.23,0.00,0.00,RC-LH 2512,
37,5,1,1,1,top,16570,16570.JPG,3.67,0,5.47,0,0.00,0.00,0.28,2.41,0,0.00,0.00,3.10,,
38,5,1,1,1,top,12845,12845.JPG,3.67,0.120,5.47,0.131,1.04,9.84,0.28,2.41,0.176,0.97,0.00,0.00, RC-LH-2818,
39,5,1,1,1,top,14229,14229.JPG,3.67,0.183,5.47,5.956,0.95,13.05,0.28,2.41,0.00,1.23,0.00,0.00,RC-LH 2512,
40,10,1,1,1,top,14918,14918.JPG,3.67,0.422,5.47,0.46,1.00,8.98,0.28,2.41,0.49,0.50,0.80,0.00,,SD56030
41,10,1,1,1,top,16910,16910.JPG,3.67,0.295,5.47,0.338,1.46,13.09,0.28,2.41,0.294,0.50,0.50,0.00,,SD56030
42,10,1,1,1,top,17823,17823.JPG,3.67,0.194,5.47,0.283,1.71,11.82,0.28,2.41,0.219,0.50,0.00,0.00,,SD56030
43,10,1,1,1,top,15067,15067.JPG,3.67,0.289,5.47,0.314,1.62,11.00,0.28,2.41,0.203,0.50,0.00,0.00,,SD56010/A
44,10,1,1,1,top,18485,18485.JPG,3.67,0.181,5.47,0.193,0.68,8.74,0.28,2.41,0.195,0.50,0.00,0.00,,SD56010/A
45,7,1,1,1,one-piece,17554,17554.JPG,3.67,0.498,5.47,0.542,1.91,10.47,0.28,2.41,0.512,0.50,0.00,0.00,,SD56030
46,7,1,1,1,one-piece,17811,17811.JPG,3.67,0.43,5.47,0.468,1.38,14.08,0.28,2.41,0.411,0.50,0.00,0.00,,SD56030
47,7,1,1,1,one-piece,18421,18421.JPG,3.67,0.417,5.47,0.461,1.48,14.81,0.28,2.41,0.405,0.50,0.00,0.00,,SD56030
48,7,1,1,1,one-piece,14930,14930.JPG,3.67,0.53,5.47,0.577,1.19,14.25,0.28,2.41,0.596,0.50,0.00,0.00,,SD56030
49,7,1,1,1,one-piece,12766,12766.JPG,3.67,0.445,5.47,0.485,1.04,12.18,0.28,2.41,0.354,0.00,0.00,0.00,,
50,7,1,1,1,one-piece,14962,14962.JPG,3.67,0.451,5.47,0.491,1.23,15.31,0.28,2.41,0.306,0.50,0.00,0.00,,SD56010/A
